state_abbr,state,fips,county,lat,lon
CA,California,06007,Butte County,39.665336,-121.603209
CA,California,06009,Calaveras County,38.191068,-120.554107
CA,California,06011,Colusa County,39.177739,-122.237563
CA,California,06013,Contra Costa County,37.919479,-121.951543
CA,California,06015,Del Norte County,41.749903,-123.980998
CA,California,06017,El Dorado County,38.785612,-120.534225
CA,California,06019,Fresno County,36.761006,-119.655019
CA,California,06021,Glenn County,39.602546,-122.4017
CA,California,06023,Humboldt County,40.706655,-123.926176
CA,California,06025,Imperial County,33.040814,-115.3554
CA,California,06027,Inyo County,36.56216,-117.404209
CA,California,06029,Kern County,35.346629,-118.729506
CA,California,06031,Kings County,36.072478,-119.81553
CA,California,06033,Lake County,39.108009,-122.745217
CA,California,06035,Lassen County,40.715287,-120.621223
CA,California,06037,Los Angeles County,34.196398,-118.261862
CA,California,06039,Madera County,37.209821,-119.749802
CA,California,06041,Marin County,38.051367,-122.746396
CA,California,06043,Mariposa County,37.574343,-119.911721
CA,California,06045,Mendocino County,39.432388,-123.442881
CA,California,06047,Merced County,37.194806,-120.722802
CA,California,06049,Modoc County,41.592918,-120.71837
CA,California,06051,Mono County,37.915836,-118.875167
CA,California,06053,Monterey County,36.240104,-121.315578
CA,California,06055,Napa County,38.5071,-122.325904
CA,California,06057,Nevada County,39.297508,-120.771343
CA,California,06059,Orange County,33.675687,-117.777207
CA,California,06061,Placer County,39.062032,-120.722718
CA,California,06063,Plumas County,39.992295,-120.824371
CA,California,06065,Riverside County,33.729828,-116.002239
CA,California,06067,Sacramento County,38.450136,-121.344329
CA,California,06069,San Benito County,36.611651,-121.085811
CA,California,06071,San Bernardino County,34.856661,-116.181571
CA,California,06073,San Diego County,33.023604,-116.776117
CA,California,06075,San Francisco County,37.727239,-123.032229
CA,California,06077,San Joaquin County,37.934982,-121.272244
CA,California,06079,San Luis Obispo County,35.388189,-120.448897
CA,California,06081,San Mateo County,37.414672,-122.371546
CA,California,06083,Santa Barbara County,34.536677,-120.038364
CA,California,06085,Santa Clara County,37.221614,-121.68954
CA,California,06087,Santa Cruz County,37.012347,-122.007789
CA,California,06089,Shasta County,40.760514,-122.043556
CA,California,06091,Sierra County,39.576925,-120.521993
CA,California,06093,Siskiyou County,41.587986,-122.533287
CA,California,06095,Solano County,38.267226,-121.939594
CA,California,06097,Sonoma County,38.525182,-122.92611
CA,California,06099,Stanislaus County,37.562316,-121.002831
CA,California,06101,Sutter County,39.03619,-121.70394
CA,California,06103,Tehama County,40.126157,-122.232274
CA,California,06105,Trinity County,40.647858,-123.114666
CA,California,06107,Tulare County,36.228834,-118.781055
CA,California,06109,Tuolumne County,38.021434,-119.964733
CA,California,06111,Ventura County,34.358748,-119.133145
CA,California,06113,Yolo County,38.679609,-121.90275
CA,California,06115,Yuba County,39.27013,-121.344259
CO,Colorado,08001,Adams County,39.874325,-104.331872
CO,Colorado,08003,Alamosa County,37.568442,-105.788041
CO,Colorado,08005,Arapahoe County,39.644554,-104.331706
CO,Colorado,08007,Archuleta County,37.202395,-107.050863
CO,Colorado,08009,Baca County,37.30978,-102.543741
CO,Colorado,08011,Bent County,37.931891,-103.077584
CO,Colorado,08013,Boulder County,40.094966,-105.397702
CO,Colorado,08014,Broomfield County,39.953593,-105.050787
CO,Colorado,08015,Chaffee County,38.734599,-106.300025
CO,Colorado,08017,Cheyenne County,38.835646,-102.601791
CO,Colorado,08019,Clear Creek County,39.689403,-105.670783
CO,Colorado,08021,Conejos County,37.213406,-106.176447
CO,Colorado,08023,Costilla County,37.277547,-105.42894
CO,Colorado,08025,Crowley County,38.30618,-103.772736
CO,Colorado,08027,Custer County,38.101996,-105.373512
CO,Colorado,08029,Delta County,38.861423,-107.865043
CO,Colorado,08031,Denver County,39.76185,-104.881105
CO,Colorado,08033,Dolores County,37.733823,-108.506219
CO,Colorado,08035,Douglas County,39.325414,-104.925987
CO,Colorado,08037,Eagle County,39.626992,-106.695169
CO,Colorado,08039,Elbert County,39.315157,-104.114076
CO,Colorado,08041,El Paso County,38.827383,-104.527472
CO,Colorado,08043,Fremont County,38.45517,-105.424958
CO,Colorado,08045,Garfield County,39.599352,-107.90978
